distance_along_trip,stop_gtfs_sequence,route,time_of_sample
0.02797945,18,MTA NYCT_B36,2017-11-10T04:17:31Z
0.02797945,19,MTA NYCT_B36,2017-11-10T04:17:31Z
0.02797945,20,MTA NYCT_B36,2017-11-10T04:17:31Z
0.02797945,1,MTA NYCT_B36,2017-11-10T04:38:06Z
0.02797945,2,MTA NYCT_B36,2017-11-10T04:38:06Z
0.02797945,3,MTA NYCT_B36,2017-11-10T04:38:06Z
0.02797945,4,MTA NYCT_B36,2017-11-10T04:38:06Z
0.02797945,5,MTA NYCT_B36,2017-11-10T04:38:06Z
0.02797945,6,MTA NYCT_B36,2017-11-10T04:38:06Z
0.02797945,7,MTA NYCT_B36,2017-11-10T04:38:06Z
0.02797945,8,MTA NYCT_B36,2017-11-10T04:38:06Z
0.02797945,9,MTA NYCT_B36,2017-11-10T04:38:06Z
0.02797945,10,MTA NYCT_B36,2017-11-10T04:38:06Z
0.02797945,11,MTA NYCT_B36,2017-11-10T04:38:06Z
0.02797945,12,MTA NYCT_B36,2017-11-10T04:38:06Z
0.02797945,13,MTA NYCT_B36,2017-11-10T04:38:06Z
0.02797945,14,MTA NYCT_B36,2017-11-10T04:38:06Z
0.02797945,15,MTA NYCT_B36,2017-11-10T04:38:06Z
0.02797945,16,MTA NYCT_B36,2017-11-10T04:38:06Z
0.02797945,17,MTA NYCT_B36,2017-11-10T04:38:06Z
0.02797945,18,MTA NYCT_B36,2017-11-10T04:38:06Z
0.02797945,19,MTA NYCT_B36,2017-11-10T04:38:06Z
0.02797945,20,MTA NYCT_B36,2017-11-10T04:38:06Z
0.02797945,1,MTA NYCT_B36,2017-11-10T04:38:38Z
0.02797945,2,MTA NYCT_B36,2017-11-10T04:38:38Z
0.02797945,3,MTA NYCT_B36,2017-11-10T04:38:38Z
0.02797945,4,MTA NYCT_B36,2017-11-10T04:38:38Z
0.02797945,5,MTA NYCT_B36,2017-11-10T04:38:38Z
0.02797945,6,MTA NYCT_B36,2017-11-10T04:38:38Z
0.02797945,7,MTA NYCT_B36,2017-11-10T04:38:38Z
0.02797945,8,MTA NYCT_B36,2017-11-10T04:38:38Z
0.02797945,9,MTA NYCT_B36,2017-11-10T04:38:38Z
0.02797945,10,MTA NYCT_B36,2017-11-10T04:38:38Z
0.02797945,11,MTA NYCT_B36,2017-11-10T04:38:38Z
0.02797945,12,MTA NYCT_B36,2017-11-10T04:38:38Z
0.02797945,13,MTA NYCT_B36,2017-11-10T04:38:38Z
0.02797945,14,MTA NYCT_B36,2017-11-10T04:38:38Z
0.02797945,15,MTA NYCT_B36,2017-11-10T04:38:38Z
0.02797945,16,MTA NYCT_B36,2017-11-10T04:38:38Z
0.02797945,17,MTA NYCT_B36,2017-11-10T04:38:38Z
0.02797945,18,MTA NYCT_B36,2017-11-10T04:38:38Z
0.02797945,19,MTA NYCT_B36,2017-11-10T04:38:38Z
0.02797945,20,MTA NYCT_B36,2017-11-10T04:38:38Z
0.02797945,1,MTA NYCT_B36,2017-11-10T06:11:23Z
0.02797945,2,MTA NYCT_B36,2017-11-10T06:11:23Z
0.02797945,3,MTA NYCT_B36,2017-11-10T06:11:23Z
0.02797945,4,MTA NYCT_B36,2017-11-10T06:11:23Z
0.02797945,5,MTA NYCT_B36,2017-11-10T06:11:23Z
0.02797945,6,MTA NYCT_B36,2017-11-10T06:11:23Z
0.02797945,7,MTA NYCT_B36,2017-11-10T06:11:23Z
0.02797945,8,MTA NYCT_B36,2017-11-10T06:11:23Z
0.02797945,9,MTA NYCT_B36,2017-11-10T06:11:23Z
0.02797945,10,MTA NYCT_B36,2017-11-10T06:11:23Z
0.02797945,11,MTA NYCT_B36,2017-11-10T06:11:23Z
0.02797945,12,MTA NYCT_B36,2017-11-10T06:11:23Z
0.02797945,13,MTA NYCT_B36,2017-11-10T06:11:23Z
0.02797945,14,MTA NYCT_B36,2017-11-10T06:11:23Z
0.02797945,15,MTA NYCT_B36,2017-11-10T06:11:23Z
0.02797945,16,MTA NYCT_B36,2017-11-10T06:11:23Z
0.02797945,17,MTA NYCT_B36,2017-11-10T06:11:23Z
0.02797945,18,MTA NYCT_B36,2017-11-10T06:11:23Z
0.02797945,19,MTA NYCT_B36,2017-11-10T06:11:23Z
0.02797945,20,MTA NYCT_B36,2017-11-10T06:11:23Z
0.02797945,1,MTA NYCT_B36,2017-11-10T06:11:54Z
0.02797945,2,MTA NYCT_B36,2017-11-10T06:11:54Z
0.02797945,3,MTA NYCT_B36,2017-11-10T06:11:54Z
0.02797945,4,MTA NYCT_B36,2017-11-10T06:11:54Z
0.02797945,5,MTA NYCT_B36,2017-11-10T06:11:54Z
0.02797945,6,MTA NYCT_B36,2017-11-10T06:11:54Z
0.02797945,7,MTA NYCT_B36,2017-11-10T06:11:54Z
0.02797945,8,MTA NYCT_B36,2017-11-10T06:11:54Z
0.02797945,9,MTA NYCT_B36,2017-11-10T06:11:54Z
0.02797945,10,MTA NYCT_B36,2017-11-10T06:11:54Z
0.02797945,11,MTA NYCT_B36,2017-11-10T06:11:54Z
0.02797945,12,MTA NYCT_B36,2017-11-10T06:11:54Z
0.02797945,13,MTA NYCT_B36,2017-11-10T06:11:54Z
0.02797945,14,MTA NYCT_B36,2017-11-10T06:11:54Z
0.02797945,15,MTA NYCT_B36,2017-11-10T06:11:54Z
0.02797945,16,MTA NYCT_B36,2017-11-10T06:11:54Z
0.02797945,17,MTA NYCT_B36,2017-11-10T06:11:54Z
0.02797945,18,MTA NYCT_B36,2017-11-10T06:11:54Z
0.02797945,19,MTA NYCT_B36,2017-11-10T06:11:54Z
0.02797945,20,MTA NYCT_B36,2017-11-10T06:11:54Z
0.02797945,1,MTA NYCT_B36,2017-11-10T06:12:25Z
0.02797945,2,MTA NYCT_B36,2017-11-10T06:12:25Z
0.02797945,3,MTA NYCT_B36,2017-11-10T06:12:25Z
0.02797945,4,MTA NYCT_B36,2017-11-10T06:12:25Z
0.02797945,5,MTA NYCT_B36,2017-11-10T06:12:25Z
0.02797945,6,MTA NYCT_B36,2017-11-10T06:12:25Z
0.02797945,7,MTA NYCT_B36,2017-11-10T06:12:25Z
0.02797945,8,MTA NYCT_B36,2017-11-10T06:12:25Z
0.02797945,9,MTA NYCT_B36,2017-11-10T06:12:25Z
0.02797945,10,MTA NYCT_B36,2017-11-10T06:12:25Z
0.02797945,11,MTA NYCT_B36,2017-11-10T06:12:25Z
0.02797945,12,MTA NYCT_B36,2017-11-10T06:12:25Z
0.02797945,13,MTA NYCT_B36,2017-11-10T06:12:25Z
0.02797945,14,MTA NYCT_B36,2017-11-10T06:12:25Z
0.02797945,15,MTA NYCT_B36,2017-11-10T06:12:25Z
0.02797945,16,MTA NYCT_B36,2017-11-10T06:12:25Z
0.02797945,17,MTA NYCT_B36,2017-11-10T06:12:25Z
0.02797945,18,MTA NYCT_B36,2017-11-10T06:12:25Z
0.02797945,19,MTA NYCT_B36,2017-11-10T06:12:25Z
0.02797945,20,MTA NYCT_B36,2017-11-10T06:12:25Z
0.02797945,1,MTA NYCT_B36,2017-11-10T07:49:58Z
0.02797945,2,MTA NYCT_B36,2017-11-10T07:49:58Z
0.02797945,3,MTA NYCT_B36,2017-11-10T07:49:58Z
0.02797945,4,MTA NYCT_B36,2017-11-10T07:49:58Z
0.02797945,5,MTA NYCT_B36,2017-11-10T07:49:58Z
0.02797945,6,MTA NYCT_B36,2017-11-10T07:49:58Z
0.02797945,7,MTA NYCT_B36,2017-11-10T07:49:58Z
0.02797945,8,MTA NYCT_B36,2017-11-10T07:49:58Z
0.02797945,9,MTA NYCT_B36,2017-11-10T07:49:58Z
0.02797945,10,MTA NYCT_B36,2017-11-10T07:49:58Z
0.02797945,11,MTA NYCT_B36,2017-11-10T07:49:58Z
0.02797945,12,MTA NYCT_B36,2017-11-10T07:49:58Z
0.02797945,13,MTA NYCT_B36,2017-11-10T07:49:58Z
0.02797945,14,MTA NYCT_B36,2017-11-10T07:49:58Z
0.02797945,15,MTA NYCT_B36,2017-11-10T07:49:58Z
0.02797945,16,MTA NYCT_B36,2017-11-10T07:49:58Z
0.02797945,17,MTA NYCT_B36,2017-11-10T07:49:58Z
0.02797945,18,MTA NYCT_B36,2017-11-10T07:49:58Z
0.02797945,19,MTA NYCT_B36,2017-11-10T07:49:58Z
0.02797945,20,MTA NYCT_B36,2017-11-10T07:49:58Z
0.02797945,1,MTA NYCT_B36,2017-11-10T11:28:18Z
0.02797945,2,MTA NYCT_B36,2017-11-10T11:28:18Z
0.02797945,3,MTA NYCT_B36,2017-11-10T11:28:18Z
0.02797945,4,MTA NYCT_B36,2017-11-10T11:28:18Z
0.02797945,5,MTA NYCT_B36,2017-11-10T11:28:18Z
0.02797945,6,MTA NYCT_B36,2017-11-10T11:28:18Z
0.02797945,7,MTA NYCT_B36,2017-11-10T11:28:18Z
0.02797945,8,MTA NYCT_B36,2017-11-10T11:28:18Z
0.02797945,9,MTA NYCT_B36,2017-11-10T11:28:18Z
0.02797945,10,MTA NYCT_B36,2017-11-10T11:28:18Z
0.02797945,11,MTA NYCT_B36,2017-11-10T11:28:18Z
0.02797945,12,MTA NYCT_B36,2017-11-10T11:28:18Z
0.02797945,13,MTA NYCT_B36,2017-11-10T11:28:18Z
0.02797945,14,MTA NYCT_B36,2017-11-10T11:28:18Z
0.02797945,15,MTA NYCT_B36,2017-11-10T11:28:18Z
0.02797945,16,MTA NYCT_B36,2017-11-10T11:28:18Z
0.02797945,17,MTA NYCT_B36,2017-11-10T11:28:18Z
0.02797945,18,MTA NYCT_B36,2017-11-10T11:28:18Z
0.02797945,19,MTA NYCT_B36,2017-11-10T11:28:18Z
0.02797945,20,MTA NYCT_B36,2017-11-10T11:28:18Z
0.02797945,1,MTA NYCT_B36,2017-11-10T11:28:49Z
0.02797945,2,MTA NYCT_B36,2017-11-10T11:28:49Z
0.02797945,3,MTA NYCT_B36,2017-11-10T11:28:49Z
0.02797945,4,MTA NYCT_B36,2017-11-10T11:28:49Z
0.02797945,5,MTA NYCT_B36,2017-11-10T11:28:49Z
0.02797945,6,MTA NYCT_B36,2017-11-10T11:28:49Z
0.02797945,7,MTA NYCT_B36,2017-11-10T11:28:49Z
0.02797945,8,MTA NYCT_B36,2017-11-10T11:28:49Z
0.02797945,9,MTA NYCT_B36,2017-11-10T11:28:49Z
0.02797945,10,MTA NYCT_B36,2017-11-10T11:28:49Z
0.02797945,11,MTA NYCT_B36,2017-11-10T11:28:49Z
0.02797945,12,MTA NYCT_B36,2017-11-10T11:28:49Z
0.02797945,13,MTA NYCT_B36,2017-11-10T11:28:49Z
0.02797945,14,MTA NYCT_B36,2017-11-10T11:28:49Z
0.02797945,15,MTA NYCT_B36,2017-11-10T11:28:49Z
0.02797945,16,MTA NYCT_B36,2017-11-10T11:28:49Z
0.02797945,17,MTA NYCT_B36,2017-11-10T11:28:49Z
0.02797945,18,MTA NYCT_B36,2017-11-10T11:28:49Z
0.02797945,19,MTA NYCT_B36,2017-11-10T11:28:49Z
0.02797945,20,MTA NYCT_B36,2017-11-10T11:28:49Z
0.02797945,1,MTA NYCT_B36,2017-11-10T11:29:53Z
0.02797945,2,MTA NYCT_B36,2017-11-10T11:29:53Z
0.02797945,3,MTA NYCT_B36,2017-11-10T11:29:53Z
0.02797945,4,MTA NYCT_B36,2017-11-10T11:29:53Z
0.02797945,5,MTA NYCT_B36,2017-11-10T11:29:53Z
0.02797945,6,MTA NYCT_B36,2017-11-10T11:29:53Z
0.02797945,7,MTA NYCT_B36,2017-11-10T11:29:53Z
0.02797945,8,MTA NYCT_B36,2017-11-10T11:29:53Z
0.02797945,9,MTA NYCT_B36,2017-11-10T11:29:53Z
0.02797945,10,MTA NYCT_B36,2017-11-10T11:29:53Z
0.02797945,11,MTA NYCT_B36,2017-11-10T11:29:53Z
0.02797945,12,MTA NYCT_B36,2017-11-10T11:29:53Z
0.02797945,13,MTA NYCT_B36,2017-11-10T11:29:53Z
0.02797945,14,MTA NYCT_B36,2017-11-10T11:29:53Z
0.02797945,15,MTA NYCT_B36,2017-11-10T11:29:53Z
0.02797945,16,MTA NYCT_B36,2017-11-10T11:29:53Z
0.02797945,17,MTA NYCT_B36,2017-11-10T11:29:53Z
0.02797945,18,MTA NYCT_B36,2017-11-10T11:29:53Z
0.02797945,19,MTA NYCT_B36,2017-11-10T11:29:53Z
0.02797945,20,MTA NYCT_B36,2017-11-10T11:29:53Z
0.02797945,1,MTA NYCT_B36,2017-11-10T11:54:35Z
0.02797945,2,MTA NYCT_B36,2017-11-10T11:54:35Z
0.02797945,3,MTA NYCT_B36,2017-11-10T11:54:35Z
0.02797945,4,MTA NYCT_B36,2017-11-10T11:54:35Z
0.02797945,5,MTA NYCT_B36,2017-11-10T11:54:35Z
0.02797945,6,MTA NYCT_B36,2017-11-10T11:54:35Z
0.02797945,7,MTA NYCT_B36,2017-11-10T11:54:35Z
0.02797945,8,MTA NYCT_B36,2017-11-10T11:54:35Z
0.02797945,9,MTA NYCT_B36,2017-11-10T11:54:35Z
0.02797945,10,MTA NYCT_B36,2017-11-10T11:54:35Z
0.02797945,11,MTA NYCT_B36,2017-11-10T11:54:35Z
0.02797945,12,MTA NYCT_B36,2017-11-10T11:54:35Z
0.02797945,13,MTA NYCT_B36,2017-11-10T11:54:35Z
0.02797945,14,MTA NYCT_B36,2017-11-10T11:54:35Z
0.02797945,15,MTA NYCT_B36,2017-11-10T11:54:35Z
0.02797945,16,MTA NYCT_B36,2017-11-10T11:54:35Z
0.02797945,17,MTA NYCT_B36,2017-11-10T11:54:35Z
0.02797945,18,MTA NYCT_B36,2017-11-10T11:54:35Z
0.02797945,19,MTA NYCT_B36,2017-11-10T11:54:35Z
0.02797945,20,MTA NYCT_B36,2017-11-10T11:54:35Z
0.02797945,1,MTA NYCT_B36,2017-11-10T11:59:10Z
0.02797945,2,MTA NYCT_B36,2017-11-10T11:59:10Z
0.02797945,3,MTA NYCT_B36,2017-11-10T11:59:10Z
0.02797945,4,MTA NYCT_B36,2017-11-10T11:59:10Z
0.02797945,5,MTA NYCT_B36,2017-11-10T11:59:10Z
0.02797945,6,MTA NYCT_B36,2017-11-10T11:59:10Z
0.02797945,7,MTA NYCT_B36,2017-11-10T11:59:10Z
0.02797945,8,MTA NYCT_B36,2017-11-10T11:59:10Z
0.02797945,9,MTA NYCT_B36,2017-11-10T11:59:10Z
0.02797945,10,MTA NYCT_B36,2017-11-10T11:59:10Z
0.02797945,11,MTA NYCT_B36,2017-11-10T11:59:10Z
0.02797945,12,MTA NYCT_B36,2017-11-10T11:59:10Z
0.02797945,13,MTA NYCT_B36,2017-11-10T11:59:10Z
0.02797945,14,MTA NYCT_B36,2017-11-10T11:59:10Z
0.02797945,15,MTA NYCT_B36,2017-11-10T11:59:10Z
0.02797945,16,MTA NYCT_B36,2017-11-10T11:59:10Z
0.02797945,17,MTA NYCT_B36,2017-11-10T11:59:10Z
0.02797945,18,MTA NYCT_B36,2017-11-10T11:59:10Z
0.02797945,19,MTA NYCT_B36,2017-11-10T11:59:10Z
0.02797945,20,MTA NYCT_B36,2017-11-10T11:59:10Z
0.02797945,5,MTA NYCT_B36,2017-11-10T12:04:20Z
0.02797945,6,MTA NYCT_B36,2017-11-10T12:04:20Z
0.02797945,7,MTA NYCT_B36,2017-11-10T12:04:20Z
0.02797945,8,MTA NYCT_B36,2017-11-10T12:04:20Z
0.02797945,9,MTA NYCT_B36,2017-11-10T12:04:20Z
0.02797945,10,MTA NYCT_B36,2017-11-10T12:04:20Z
0.02797945,11,MTA NYCT_B36,2017-11-10T12:04:20Z
0.02797945,12,MTA NYCT_B36,2017-11-10T12:04:20Z
0.02797945,13,MTA NYCT_B36,2017-11-10T12:04:20Z
0.02797945,14,MTA NYCT_B36,2017-11-10T12:04:20Z
0.02797945,15,MTA NYCT_B36,2017-11-10T12:04:20Z
0.02797945,16,MTA NYCT_B36,2017-11-10T12:04:20Z
0.02797945,17,MTA NYCT_B36,2017-11-10T12:04:20Z
0.02797945,18,MTA NYCT_B36,2017-11-10T12:04:20Z
0.02797945,19,MTA NYCT_B36,2017-11-10T12:04:20Z
0.02797945,20,MTA NYCT_B36,2017-11-10T12:04:20Z
