measured_t,predicted_t,report_datetime,stop_gtfs_seq,route,measured_t,predicted_t,report_datetime,stop_gtfs_seq,route
29,43,2017-11-10T03:13:54Z,1,MTA NYCT_M15,0,9,2017-11-10T03:14:25Z,1,MTABC_Q110
22,25,2017-11-10T03:13:53Z,1,MTA NYCT_BX12,0,4,2017-11-10T03:14:24Z,1,MTA NYCT_Q54
31,14,2017-11-10T03:13:56Z,1,MTABC_Q10,0,1,2017-11-10T03:14:26Z,1,MTA NYCT_Q54
63,27,2017-11-10T03:13:55Z,1,MTA NYCT_B6,0,5,2017-11-10T03:14:27Z,1,MTABC_Q10
32,17,2017-11-10T03:13:56Z,1,MTABC_Q25,0,2,2017-11-10T03:14:28Z,1,MTABC_Q25
0,112,2017-11-10T03:13:53Z,1,MTA NYCT_B36,0,1,2017-11-10T03:14:30Z,1,MTA NYCT_Q88
94,112,2017-11-10T03:13:55Z,1,MTA NYCT_BX36,0,1,2017-11-10T03:14:29Z,1,MTA NYCT_B6
18,22,2017-11-10T03:13:55Z,1,MTA NYCT_B6,0,2,2017-11-10T03:14:32Z,1,MTA NYCT_Q88
63,47,2017-11-10T03:13:54Z,1,MTA NYCT_B1,0,15,2017-11-10T03:14:31Z,1,MTA NYCT_Q88
106,38,2017-11-10T03:13:55Z,1,MTA NYCT_S46,0,5,2017-11-10T03:14:32Z,1,MTA NYCT_B37
171,95,2017-11-10T03:13:57Z,1,MTABC_Q34,0,5,2017-11-10T03:14:31Z,1,MTA NYCT_Q46
14,21,2017-11-10T03:13:55Z,1,MTA NYCT_BX36,0,2,2017-11-10T03:14:33Z,1,MTA NYCT_Q54
0,3,2017-11-10T03:13:57Z,1,MTA NYCT_Q58,0,8,2017-11-10T03:14:33Z,1,MTA NYCT_BX36
32,48,2017-11-10T03:13:57Z,1,MTA NYCT_B1,0,6,2017-11-10T03:14:33Z,1,MTA NYCT_BX2
0,9,2017-11-10T03:13:57Z,1,MTA NYCT_B6,0,4,2017-11-10T03:14:34Z,1,MTABC_Q60
17,24,2017-11-10T03:13:57Z,1,MTA NYCT_X1,0,21,2017-11-10T03:14:35Z,1,MTA NYCT_B6
12,19,2017-11-10T03:13:59Z,1,MTA NYCT_M5,0,3,2017-11-10T03:14:35Z,1,MTA NYCT_B6
0,8,2017-11-10T03:13:56Z,1,MTA NYCT_Q58,0,4,2017-11-10T03:14:38Z,1,MTABC_Q25
114,62,2017-11-10T03:13:57Z,1,MTA NYCT_BX36,0,6,2017-11-10T03:14:35Z,1,MTA NYCT_B63
62,43,2017-11-10T03:13:56Z,1,MTA NYCT_B6,0,8,2017-11-10T03:14:39Z,1,MTA NYCT_B13
32,43,2017-11-10T03:13:57Z,1,MTA NYCT_B6,0,5,2017-11-10T03:14:40Z,1,MTA NYCT_B6
0,5,2017-11-10T03:13:59Z,1,MTA NYCT_Q88,0,2,2017-11-10T03:14:37Z,1,MTA NYCT_BX36
0,6,2017-11-10T03:13:58Z,1,MTA NYCT_B6,0,4,2017-11-10T03:14:40Z,1,MTABC_Q34
