distance_along_trip,n
41.33673048,20
41.36276534,16
41.96998278,20
42.06941901,26
42.48259839,18
42.50577028,20
42.51708323,19
42.66805936,20
43.02426162,20
43.19738309,40
43.68114019,119
43.82275639,20
44.09995015,12
44.3733764,20
44.44027179,36
44.67699052,20
44.84161017,20
44.89892286,57
44.92273617,20
45.05248149,20
45.12761758,20
45.29483572,13
45.31498651,40
45.35593939,80
45.65640345,20
45.69272703,20
45.77471494,20
45.7816371,20
45.97504369,20
45.98895657,2
45.99658722,18
46.02815512,20
46.03069698,20
46.05011053,20
46.24318419,20
46.77828219,6
46.97548422,20
47.25679559,20
47.51226798,40
47.61579836,20
47.76632263,20
47.98334169,15
48.12650143,60
48.19872756,20
48.37960635,14
48.40229432,20
48.61929854,45
48.88592804,15
48.91987351,20
48.96729943,20
49.04623104,20
49.1107335,20
49.13458188,20
49.13888443,15
49.18123179,40
49.43453074,97
49.45621693,20
49.56390734,17
49.64565776,20
49.98572618,66
50.05085003,20
50.12636142,16
50.26036234,20
50.3888579,18
50.41630733,20
50.58352134,40
50.68404168,20
50.94175872,20
50.97911807,19
51.2000497,20
51.3179329,20
51.65961089,20
51.70580439,19
51.90692841,20
51.9420794,19
52.07352603,40
52.15361316,20
52.25629249,20
52.28252125,16
52.86816783,80
53.07369181,20
53.23312128,20
53.38123206,20
53.61016467,20
53.63755098,20
53.78032703,20
53.95575609,20
53.96318717,20
53.98788096,28
54.33706066,140
54.48894067,19
54.80355277,20
54.89219013,15
54.89338123,20
54.92394293,18
55.03071669,20
55.10413262,20
55.15111144,20
55.32058808,20
55.97997045,11
56.00401629,38
56.11966034,20
56.14203775,40
56.20834986,45
56.22726865,20
56.23054953,100
56.25212012,20
56.36826883,20
56.55454024,20
56.69186685,20
56.73201397,15
56.80304345,74
56.86830551,20
57.12164228,22
57.13628734,60
57.1374923,20
57.50938845,20
57.66627388,39
57.6736192,20
57.78594454,20
57.85811453,20
57.96770583,120
58.02672299,20
58.07713996,20
58.08797873,18
58.11619641,20
58.18371731,20
58.38106099,20
58.52595894,20
58.69553942,20
58.71109085,20
58.79131615,20
58.82667039,15
59.47668881,36
59.51050911,20
59.60283156,20
59.60755774,20
59.62428794,20
59.77295082,19
60.12761286,20
60.15192017,119
60.29207175,20
60.31179743,40
60.45692264,40
60.47050934,20
60.53765618,20
60.62587185,40
60.7002256,40
60.75034772,20
60.92132681,15
60.98543726,20
61.16358482,34
61.30005826,20
61.36410263,20
61.79316343,57
61.91930712,2
61.95735159,20
61.96259008,19
62.00585567,38
62.24775661,20
62.2722953,20
62.45849962,15
62.47537288,20
62.47636212,15
62.69164496,17
62.69641069,20
62.76721305,20
62.7911098,6
62.89706377,36
63.14938256,20
63.23103273,20
63.26032729,20
63.27781529,30
63.28936783,20
63.68843018,40
63.70376193,20
63.82803606,20
63.88403801,20
63.90337837,60
64.02455186,15
64.07246036,20
64.10489365,20
64.1231403,20
64.13556538,16
64.18798002,20
64.24915183,20
64.2504556,20
64.53639243,19
64.54379005,20
64.69471405,20
64.77180752,20
65.0980571,20
65.26276983,7
65.28605096,20
65.91270766,31
65.92720063,35
65.94041791,14
65.94154629,20
65.97248912,20
66.02750491,20
66.08520979,60
66.16462954,20
66.24675439,80
66.53499728,20
66.6097601,20
66.66040768,19
66.71995222,20
66.93307162,20
67.06995748,20
67.20529608,12
67.26482607,20
67.34679775,20
67.47272238,20
67.57872224,6
67.69146251,7
67.80107469,20
67.91826844,40
68.26673293,20
68.38460747,20
68.43790028,19
68.46208993,15
68.50222605,40
68.56793113,20
68.59073273,30
68.72019623,20
68.99579936,20
69.08669241,20
69.38603096,14
69.41818013,20
69.62406137,12
69.85310519,20
69.91442513,55
70.03225188,20
70.1268685,9
70.29025044,38
70.31702688,20
70.68146356,20
70.71473555,20
71.02936745,20
71.16160944,6
71.31357039,20
71.3368239,20
71.36621728,20
71.37202657,40
71.38114242,30
71.54437578,20
71.54450276,20
71.58806763,20
71.8064368,60
71.92627222,20
72.05350648,40
72.69373077,40
72.71526905,19
73.02208823,58
73.3488246,40
73.4015773,140
73.44000928,18
73.52274797,7
73.76498819,20
74.15179611,39
74.52580294,100
74.53211822,15
74.70887233,20
74.74047827,20
74.84525151,16
75.06025766,15
75.19521688,20
75.29245784,40
75.34348959,19
75.34685926,20
75.390438,40
75.58507929,80
75.71904391,19
75.79494247,40
76.20338748,16
76.35999814,19
76.46867711,19
76.60023969,18
76.64760894,20
76.70005013,20
76.77027585,15
76.86897417,20
76.87418905,14
76.99263782,38
77.06500431,20
77.48166223,20
77.49518603,40
77.50864414,9
77.65811085,20
77.71646218,20
77.7181658,18
77.72309447,14
77.73586015,20
78.10404821,20
78.10417428,60
78.24878123,20
78.27134034,20
78.50090306,20
78.50674287,20
78.58478231,20
79.3576282,40
79.36372177,43
79.4500833,40
79.488813,20
79.61053772,40
79.624263439999993,20
79.68096403,60
79.82789562,40
79.9680101,19
80.16820456,20
80.25306104,20
80.41524701,20
80.51314382,20
80.61956674,20
80.67049054,57
80.88108909,14
80.93363414,20
80.99646853,20
81.03216423,15
81.13947274,20
81.19953195,17
81.20984293,85
81.36751862,37
81.49947622,20
81.55430233,17
81.72221903,16
81.73341101,20
81.74537984,20
81.85344154,20
81.95035999,20
82.03134707,40
82.05432172,10
82.12972309,15
82.14984925,118
82.34686455,20
82.39088457,20
82.41624986,80
82.50966918,20
82.55134934,20
82.60967819,40
82.67346095,20
82.91521925,14
83.04497586,20
83.14127426,6
83.30181616,20
83.47306484,80
83.68217033,20
83.86275169,19
83.88876278,20
83.91282617,20
83.94253848,20
84.23553346,20
84.50190526,19
84.80838687,20
84.89477817,40
84.9179069,20
85.23985121,20
85.52988817,20
85.60977864,20
85.61203259,19
85.61575549,15
85.70623845,40
85.83575639,20
85.84056956,20
85.91199213,20
86.04852324,20
86.05720388,14
86.17634066,58
86.35015386,100
86.43134554,20
86.85407526,20
86.85735756,14
86.92100675,5
87.00331867,7
87.02531265,16
87.11183075,20
87.17083124,20
87.2906999,16
87.31399774,15
87.45466628,20
87.54522058,20
87.81658154,20
87.86566737,20
88.05477263,20
88.07384196,57
88.29008011,40
88.45615302,20
88.57410181,20
88.66059911,18
88.87873617,20
89.1121838,60
89.21503321,20
89.22642803,45
89.56666642,60
89.57729637,20
89.60132752,16
89.68615247,7
89.90917169,40
89.91313285,20
90.10496298,40
90.21865845,20
90.24651673,15
90.27778625,20
90.3509494,20
90.66111684,20
90.80648428,18
90.83712473,20
90.88465107,19
91.08390005,20
91.14600538,20
91.27761028,211
91.3688423,16
91.42349394,19
91.43406705,20
91.48910952,15
91.55567699,30
91.68538206,20
91.72476283,58
91.81571915,20
91.95008739,36
91.9524562,20
91.95730842,17
92.19321165,20
92.30471806,16
92.31528008,20
92.68067786,40
92.75447683,40
92.87896067,20
92.98451639,20
93.02401175,18
93.19323678,15
93.46171647,20
93.69948963,80
93.94711472,40
93.95096843,20
94.00718682,20
94.05616119,20
94.09956958,20
94.31718686,14
94.65337557,20
94.66683518,20
94.83529386,20
94.97600172,20
95.22915383,20
95.37687472,20
95.5734261,17
95.72403596,13
95.73243692,40
95.73652317,59
95.82176027,14
95.9418569,40
95.95726892,19
96.06711279,20
96.08621771,20
96.21629046,20
96.28149714,40
96.38042068,60
96.70919314,20
96.86225537,10
97.30176832,2
97.49533309,20
97.67935949,20
97.70499931,60
97.78690166,20
97.82728002,42
97.83987697,16
97.89903071,19
97.98475872,20
98.06192856,20
98.17988241,80
98.18513386,9
98.221467,20
98.30561856,15
98.31602329,40
98.3800751,20
98.40345896,19
98.80989451,14
98.93531019,20
98.95580173,20
99.0330462,16
99.07119927,19
99.12781468,20
99.29088661,20
99.36294861,40
99.56173439,37
99.82115496,16
99.90496038,20
99.94431298,20
100.40537131,115
100.45270692,20
100.52399946,40
100.56762971,110
100.58754412,20
100.7582622,20
100.84001444,20
100.86633034,39
100.98163089,30
101.3612895,20
101.4628839,60
101.49949774,20
101.69400968,20
101.79802874,14
101.87128789,40
102.0355767,40
102.16676377,20
102.18490655,60
102.25309825,20
102.28001937,20
102.40743911,20
102.49196556,20
102.81601299,16
102.91222082,20
103.00868347,19
103.04804532,57
103.33588974,19
103.39103187,40
103.41160879,19
103.64428463,180
104.53927743,20
104.60151416,20
104.70176425,20
104.75483874,20
104.78616298,65
104.82843961,17
104.87237392,20
105.22076849,20
105.47968267,20
105.5265209,40
105.61452401,17
105.89178584,20
105.96840756,20
106.14738363,20
106.49885494,20
106.76246413,20
106.85778129,18
106.99964354,25
107.005839,80
107.02711677,20
107.10814994,20
107.49275565,20
107.56065405,35
107.64199717,20
107.70710787,20
107.91151218,40
107.95846862,20
108.03666723,20
108.28632767,20
108.33785834,20
108.77274877,19
108.77445878,20
108.89771341,20
108.94538311,20
108.97788135,20
109.09842453,15
109.53313234,39
109.58290938,20
109.68874275,17
109.82683373,20
109.96767245,20
110.02507303,20
110.06143338,20
110.18671145,40
110.23128127,20
110.35626278,20
110.59027076,19
110.64117617,20
110.65430729,20
110.72663448,17
110.76243145,14
110.76710781,20
111.12393369,40
111.15360813,40
111.81700225,16
111.86308021,14
112.05719373,20
112.0692349,20
112.11071741,19
112.24675835,40
112.26787726,22
112.37024105,20
112.43395968,31
112.4545373,20
112.63120373,20
112.71993982,20
112.76407327,15
112.81170527,20
112.93868675,20
113.54640591,40
113.59064236,20
113.84296534,20
113.87497315,20
114.10953511,38
114.22299217,17
114.24001443,18
114.24435068,60
114.27257468,20
114.32455344,19
114.60848850000001,20
114.73136432,20
114.84690201,20
114.92142635,37
114.93760924,19
115.0191593,20
115.5481336,40
115.64068473,20
115.78899893,20
115.92104572,20
115.99435644,15
116.16550638,40
116.2823645,20
116.49442225,40
116.79058893,20
117.13653608,20
117.15014664,20
117.15330776,38
117.27799937,20
117.31646583,20
117.44928973,39
117.46710088,20
117.60197215,40
118.24203121,13
118.26276391,26
118.31671946,40
118.50498156,14
118.54411732,20
118.67878303,20
118.70822177,20
118.80556489,81
118.84950885,60
118.9512755,57
118.95337762,40
119.28599076,20
119.46678262,39
119.50464054,19
119.50709257,20
120.03477196,20
120.09084452,38
120.25230684,60
120.27901387,19
120.28668648,9
120.3382948,19
120.37409121,40
120.37612819,20
120.4468022,16
120.46526923,18
120.86531104,20
120.9293501,19
120.96044211,20
121.11335897,20
121.24743178,14
121.40045121,40
121.50367486,20
122.25066266,2
122.29048154,20
122.48018239,20
122.60011652,58
122.61234292,18
122.73279004,9
122.86451823,60
122.96419289,60
122.97110613,20
123.23532378,23
123.37036297,20
123.38758313,20
123.57623969,60
123.6872463,20
123.87729281,20
124.09820853,20
124.16728313,20
124.2283235,40
124.83424676,100
124.93141827,20
125.48742973,20
125.91034434,20
126.12735121,40
126.19840652,40
126.20345075,6
126.29876512,20
126.54086288,20
126.70533875,20
126.95593405,18
127.08642765,20
127.32820226,14
127.64764733,20
127.77421722,20
127.7886544,38
127.79495975,20
127.8399936,55
128.00417809,20
128.14492072,20
128.26280573,20
128.44370348,20
128.4456165,20
128.45736775,20
128.54311548,20
128.92801628,19
128.95566997,20
129.04677621,4
129.07278486,51
129.1386371,20
129.29236533,60
129.3894281,40
129.4112341,80
129.47724174,20
129.52588429,20
129.56525126,7
129.62424872,20
129.79809586,60
129.80283425,20
129.95901343,20
130.1961142,40
130.2626238,40
130.39179021,20
130.51978966,16
130.52018489,19
130.52855847,20
130.55729498,20
130.65986543,20
130.76727609,40
130.87877365,20
130.91497604,20
130.93753152,18
131.89454225,15
132.0440616,16
132.17041957,20
132.26471659,21
132.30443261,20
132.36692986,100
132.42900539,20
132.68422953,20
132.94386866,20
133.01150406,20
133.25761276,220
133.45449907,17
133.7504839,180
134.33197763,40
134.36594456,20
134.54992762,40
134.88939023,20
135.18873758,20
135.2838452,20
135.45601711,19
135.59522262,100
135.76200706,20
135.76410375,19
135.90461089,11
135.95704392,60
136.04335908,25
136.07761958,16
136.56247621,20
136.60710571,20
136.65595408,20
136.73719564,15
136.82612902,20
136.90849425,19
136.91641542,64
136.95383397,60
137.08344575,30
137.58714424,15
137.83621328,20
137.88214505,39
138.1478548,20
138.20860247,100
138.21606736,20
138.63973925,58
138.65776032,20
138.77206191,20
138.77894055,213
138.79120336,20
138.82351538,20
139.09560631,20
139.17584448,16
139.21960928,20
139.39970926,20
139.42335358,8
139.49987011,40
139.59337197,20
139.64092155,20
139.70621037,20
139.8505926,17
140.01406795,40
140.2786764,6
140.28493138,20
140.57076019,20
140.66353288,16
140.83990026,20
140.93319538,16
141.1502996,19
141.31608015,20
141.39390295,16
141.47578029,14
141.57228285,20
141.72221994,20
141.74475266,20
141.89746825,20
141.98401793,19
142.05180814,40
142.21792749,60
142.25112888,20
142.61491123,40
142.66191983,20
142.66672105,40
142.71307503,20
142.7734844,20
142.91702368,20
143.06761593,20
143.08900553,20
143.2989679,20
143.31994192,20
143.61601814,18
143.62723443,20
143.65807642,72
143.6624685,20
143.66441747,20
143.92235394,16
143.9486545,20
144.11233247,20
144.50909579,40
144.57719863,20
144.82936033,60
144.93888716,7
145.04117791,20
145.24801835,16
145.26051081,20
145.32870775,60
145.38746153,20
145.50421315,17
145.56723036,20
145.68050567,20
145.84071717,20
145.92575904,18
145.95265249,40
146.01021317,40
146.02505459,20
146.21580749,15
146.21672648,20
146.2406754,20
146.62692903,20
146.6740453,7
146.69303686,20
146.75462035,20
146.76742156,20
146.82709126,20
146.83076199,20
146.88001855,16
147.12483962,20
147.37928654,20
147.41301317,20
147.46953222,20
147.52156823,40
147.63551264,9
147.74293992,20
148.04549582,20
148.23298208,19
148.47829503,20
148.55488593,16
148.60633708,20
148.60679891,38
148.72083978,20
149.08796048,120
149.10739744,20
149.20305778,120
149.253692,20
149.3723238,19
149.41982051,20
149.48095655,79
149.49546106,19
149.51080888,16
149.56432711,20
149.90289977,51
149.92419393,20
150.02928981,20
150.12688214,26
150.14401896,15
150.19305086,18
150.37546014,2
150.40605695,33
150.61380198,19
150.64130529,19
150.73402903,39
150.78526389,20
151.06950524,20
151.15792903,20
151.32640045,19
151.41070133,20
151.43495598,18
151.58295819,19
151.60269906,40
151.77601917,16
151.99598251,19
152.10718666,19
152.12272612,20
152.18927687,19
152.26762102,37
152.27087484,20
152.40677495,20
152.71999628,17
152.88797882,20
152.89470078,19
152.93221034,40
153.20047937,17
153.27101126,20
153.33530614,19
153.34656063,140
153.40801938,37
153.63320534,18
153.64988871,19
153.7483781,76
154.09585211,16
154.44088531,20
154.59481524,7
154.66819516,60
154.90132441,40
154.93657151,20
154.94183783,20
154.98844138,19
154.99728686,5
155.04001958,18
155.11741318,20
155.17193748,20
155.21565994,20
155.35527189,20
155.42453195,20
155.44300347,20
155.45979528,9
155.52298028,19
155.62335832,16
155.72883071,20
156.14772312,31
156.32857125,18
156.45849867,20
156.65570444,19
156.6613629,60
156.67201979,19
156.98244658,20
157.60516077,100
157.70080527,19
157.70448005,36
157.72667292,20
157.78545413,19
157.83115273,19
158.19610052,80
158.43926355,12
158.49177017,19
158.49503352,20
158.60450349,19
158.715214,77
158.83530141,20
158.91267017,20
158.96496827000001,57
158.977626,19
158.98511703,19
159.00456812,39
159.04786633,32
159.05185562,20
159.08841326,20
159.42506261,20
159.51603576,20
159.59142095,20
159.65982379,20
159.69927501,20
159.91435009,16
160.15197791,40
160.3264259,20
160.37684808,10
160.44693889,20
160.71269711,20
160.83049402,19
161.14242776,19
161.56071347,13
161.58903732,19
161.60530199,40
162.21227228,20
162.2550941,19
162.27894547,20
162.35098704,18
162.39254647,20
162.49385649,20
162.9867229,40
162.98898898,19
163.14133908,19
163.17903746,20
163.32745054,19
163.64188977,11
163.64388309,20
163.71034367,7
163.71472149,20
163.82232202,20
163.90794807,20
163.96276374,16
163.96679183,20
164.11713236,40
164.11966803,20
164.29969851,39
164.48053096,14
164.48094097,20
164.5488477,8
164.67081034,20
164.69372911,17
164.72813426,40
164.77134044,16
165.21302447,57
165.23950303,20
165.45333432,38
165.59746633,20
165.95843448,20
166.38202484,20
166.54944404,60
166.79332296,77
166.89192721,40
166.89928271,20
167.22387235,4
167.42235526,20
167.53698194,13
167.63922957,20
167.74880436,15
167.76529601,20
168.51728496,19
168.57819811,20
168.62194915,40
169.04671182,15
169.1048065,19
169.31491315,20
169.41543247,19
169.61462897,20
169.77732679,40
169.84346079,15
169.88426691,20
170.00440353,20
170.35503586,20
170.39090632,9
170.4084022,39
170.83499594,20
171.04841189,40
171.13456945,20
171.24086296,20
171.28413691,20
171.57797315,20
171.82154545,19
172.35028347,20
172.51026129,20
172.64392967,20
172.91043502,40
172.95519188,40
173.23305082,20
173.49836232,20
173.54215799,13
173.61289269,46
173.62330902,13
173.66341669,19
173.82978395,40
173.86470541,38
174.10168951,20
174.20638304,19
174.27890122,40
174.28404393,20
174.30350078,20
174.31770671,20
174.48679569,16
174.63956136,40
174.70930757,20
174.71406602,16
175.1858834,19
175.20853588,20
175.29102557,40
175.30712571,40
175.69355767,33
175.89164942,20
175.93723311,64
176.08867014,36
176.34854766,20
176.37116436,20
176.99918154,17
177.01687986,20
177.07146896,7
177.08905719,20
177.50873712,40
177.75747233,20
177.96475722,20
178.17907356,30
178.18294465,17
178.36706971,20
178.43006643,20
178.69853723,19
178.76688748,19
178.8349998,40
178.86125691,19
178.89816151,20
178.93970018,19
179.04003291,20
179.077799,20
179.45191617,38
179.60095168,13
179.82685243,20
179.84477119,40
179.96323262,20
180.00607875,11
180.08956983,20
180.14433976,19
180.3367003,36
180.34898327,19
180.39583425,40
180.41175028,9
180.92271273,20
181.49618901,20
181.76764656,19
181.76893808,88
182.20391883,40
182.26718428,15
182.3506462,16
182.45481058,20
182.54992207,13
182.59481829999999,40
182.66288041,20
182.66954161,16
182.74525443,61
182.80120767,19
182.82488671,40
183.15676166,20
183.36616409,20
183.45172941,20
183.6314383,20
183.63557022,20
183.75203161,9
183.75230927,35
183.95964496,50
183.97559716,20
184.2770508,20
184.31181029,40
184.3646802,19
184.40196028,38
184.62972102,20
184.89275042,20
185.45637595,18
185.52118968,19
185.55251009,13
185.58858433,20
185.75792135,41
185.76668758,20
185.92890111,37
186.1617125,19
186.24671467,20
186.49458339,20
186.61497824,18
187.09231293,9
187.11639184,16
187.22151381,19
187.24790676,20
187.28400254,20
187.33332755,16
187.33536177,19
187.37549886,15
187.38073748,20
187.44920601,76
187.67239384,18
187.6800237,18
188.01437363,20
188.06237967,20
188.84514632,20
189.36504453,16
189.52419254,20
189.67058772,100
189.89861104,20
190.03718614,19
190.099648,19
190.11950618,20
190.22373595,20
190.57231976,20
190.7858778,20
190.95021654,34
191.14386168,40
191.35543442,20
191.45117789,20
191.47304634,20
191.54288708,19
191.55768614,13
191.56738542,19
191.62499009,19
191.65492422,20
191.67396195,20
191.68298159,5
191.75175174,15
191.87761616,16
191.90433937,32
192.17243543,38
192.41858723000001,18
192.44762011,19
192.61981513,19
192.68622835,120
192.72299638,57
192.88468144,14
192.91239826,20
193.12947395,77
193.34668036,20
193.66516373,19
193.7789358,20
194.07729985,17
194.20802453,54
194.293217,40
194.60353665,39
194.62155311,5
194.77983286,30
194.798498,40
194.91346719,20
195.37152678,76
195.47463284,20
195.52081058,7
195.74629907,20
195.76249326,19
195.82804289,20
196.10280499,39
196.22766864,20
196.28515181,40
196.29903569,20
196.37265971,20
196.39683839,19
196.43172489,19
196.50163887,19
196.5191026,19
196.6848437,15
196.71910398,6
196.87343738,19
196.93974235,19
197.15625989,19
197.29456387,60
197.44702788,20
197.59615845,19
197.59765839,15
197.96173362,17
198.12323842,76
198.16079004,12
198.39682614,20
198.54241718,19
198.57818327,38
198.60376041,18
198.80974189,80
198.8972065,19
199.08815951,40
199.22518933999999,16
199.25158647,19
199.38246157,16
199.51213644,14
199.56973905,20
199.58825877,40
199.70756792,11
200.03389212,19
200.10108926,5
200.27564076,40
200.2946623,20
200.52517849,20
200.56545022,13
200.60141888,37
200.81074262,37
200.85430013,40
200.91875142,20
201.0099779,15
201.03814275,20
201.1993523,19
201.40982891,20
201.50512074,20
201.51652439,19
201.55726312,18
201.97032922,19
